iter	Passed	Remaining
1556	107154	30487
1557	107240	30423
1558	107319	30357
1559	107386	30288
1560	107452	30218
1561	107518	30149
1562	107582	30078
1563	107651	30010
1564	107714	29939
1565	107781	29870
1566	107845	29800
1567	107912	29731
1568	107978	29661
1569	108045	29592
1570	108113	29523
1571	108184	29454
1572	108253	29386
1573	108335	29320
1574	108400	29250
1575	108464	29180
1576	108530	29111
1577	108599	29042
1578	108667	28973
1579	108734	28903
1580	108808	28836
1581	108875	28767
1582	108943	28698
1583	109016	28630
1584	109084	28561
1585	109161	28494
1586	109227	28425
1587	109296	28356
1588	109361	28286
1589	109425	28216
1590	109491	28147
1591	109558	28077
1592	109633	28010
1593	109697	27940
1594	109764	27871
1595	109833	27802
1596	109898	27732
1597	109966	27663
1598	110033	27594
1599	110101	27525
1600	110172	27457
1601	110242	27388
1602	110307	27318
1603	110376	27250
1604	110441	27180
1605	110507	27110
1606	110573	27041
1607	110644	26973
1608	110708	26903
1609	110775	26833
1610	110843	26764
1611	110909	26695
1612	110975	26625
1613	111042	26556
1614	111112	26488
1615	111181	26419
1616	111248	26350
1617	111312	26280
1618	111387	26212
1619	111452	26143
1620	111515	26072
1621	111582	26003
1622	111650	25934
1623	111720	25866
1624	111788	25797
1625	111854	25727
1626	111927	25660
1627	111998	25591
1628	112065	25522
1629	112131	25453
1630	112197	25383
1631	112264	25314
1632	112330	25245
1633	112401	25176
1634	112468	25107
1635	112536	25038
1636	112599	24968
1637	112674	24901
1638	112746	24833
1639	112809	24763
1640	112876	24693
1641	112942	24624
1642	113011	24555
1643	113077	24486
1644	113156	24419
1645	113229	24351
1646	113295	24282
1647	113358	24212
1648	113421	24142
1649	113488	24073
1650	113554	24003
1651	113620	23934
1652	113688	23865
1653	113758	23797
1654	113827	23728
1655	113895	23659
1656	113963	23590
1657	114033	23521
1658	114102	23453
1659	114169	23384
1660	114237	23315
